2013-01-07 20:40:37 status unpacked bsdutils 1:2.20.1-1ubuntu3
2013-01-07 20:40:37 install libblkid1 <none> 2.20.1-1ubuntu3
2013-01-07 20:40:37 status half-installed libblkid1 2.20.1-1ubuntu3
2013-01-07 20:40:37 status unpacked libblkid1 2.20.1-1ubuntu3
2013-01-07 20:40:37 status unpacked libblkid1 2.20.1-1ubuntu3
2013-01-07 20:40:37 install libmount1 <none> 2.20.1-1ubuntu3
2013-01-07 20:40:37 status half-installed libmount1 2.20.1-1ubuntu3
2013-01-07 20:40:37 status unpacked libmount1 2.20.1-1ubuntu3
2013-01-07 20:40:37 status unpacked libmount1 2.20.1-1ubuntu3
2013-01-07 20:40:37 install liblzma5 <none> 5.1.1alpha+20110809-3
2013-01-07 20:40:37 status half-installed liblzma5 5.1.1alpha+20110809-3
2013-01-07 20:40:37 status unpacked liblzma5 5.1.1alpha+20110809-3
2013-01-07 20:40:37 status unpacked liblzma5 5.1.1alpha+20110809-3
2013-01-07 20:40:37 install multiarch-support <none> 2.15-0ubuntu10
2013-01-07 20:40:37 status half-installed multiarch-support 2.15-0ubuntu10
2013-01-07 20:40:37 status unpacked multiarch-support 2.15-0ubuntu10
2013-01-07 20:40:37 status unpacked multiarch-support 2.15-0ubuntu10
2013-01-07 20:40:37 install locales <none> 2.13+git20120306-3
2013-01-07 20:40:37 status half-installed locales 2.13+git20120306-3
2013-01-07 20:40:38 status unpacked locales 2.13+git20120306-3
2013-01-07 20:40:38 status unpacked locales 2.13+git20120306-3
2013-01-07 20:40:38 install lsb-base <none> 4.0-0ubuntu20
2013-01-07 20:40:38 status half-installed lsb-base 4.0-0ubuntu20
2013-01-07 20:40:38 status unpacked lsb-base 4.0-0ubuntu20
2013-01-07 20:40:38 status unpacked lsb-base 4.0-0ubuntu20
2013-01-07 20:40:38 install makedev <none> 2.3.1-89ubuntu2
2013-01-07 20:40:38 status half-installed makedev 2.3.1-89ubuntu2
2013-01-07 20:40:38 status unpacked makedev 2.3.1-89ubuntu2
2013-01-07 20:40:38 status unpacked makedev 2.3.1-89ubuntu2
2013-01-07 20:40:38 upgrade mawk 1.3.3-17 1.3.3-17
2013-01-07 20:40:38 status half-configured mawk 1.3.3-17
2013-01-07 20:40:38 status unpacked mawk 1.3.3-17
2013-01-07 20:40:38 status half-installed mawk 1.3.3-17
2013-01-07 20:40:38 status half-installed mawk 1.3.3-17
2013-01-07 20:40:38 status unpacked mawk 1.3.3-17
2013-01-07 20:40:38 status unpacked mawk 1.3.3-17
2013-01-07 20:40:38 install module-init-tools <none> 3.16-1ubuntu2
2013-01-07 20:40:38 status half-installed module-init-tools 3.16-1ubuntu2
2013-01-07 20:40:38 status unpacked module-init-tools 3.16-1ubuntu2
2013-01-07 20:40:38 status unpacked module-init-tools 3.16-1ubuntu2
2013-01-07 20:40:38 install mountall <none> 2.36
2013-01-07 20:40:38 status half-installed mountall 2.36
2013-01-07 20:40:38 status unpacked mountall 2.36
2013-01-07 20:40:38 status unpacked mountall 2.36
2013-01-07 20:40:38 install ncurses-base <none> 5.9-4
2013-01-07 20:40:38 status half-installed ncurses-base 5.9-4
2013-01-07 20:40:38 status unpacked ncurses-base 5.9-4
